constant,measured current,measured current 2
6583,-567,-557
1000,-84,-95
500,-42,-52
400,-44,-33
300,-35,-46
200,-16,-27
100,-18,-8
80,-17,-6
60,-15,-5
40,-13,-3
20,-12,-1
10,-11,0
0,0,-10
0,-10,0
-10,-9,0
-20,-8,-18
-40,3,-6
-60,-5,5
-80,6,-3
-100,8,-1
-100,8,18
-200,16,6
-300,15,25
-400,23,33
-500,32,42
